,ARouter,,,arthas,,,canal,,,druid,,,nacos,,,rax,,,aliyun-openapi-java-sdk,,,san,,,EasyReact,,,lyrebird,,,WMRouter,,,Emmagee,,,lordofpomelo,,,bk-cmdb,,,ncnn,,,QMUI_Android,,,QMUI_IOS,,,westore,,,weui,,,xLua,,,mace,,,pegasus,,
,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP
gvsm_origin,"(0.75, 0.8571, 0.8)","(0.75, 0.8571, 0.8333009255658397)","0.772
","(0.44, 0.2716, 0.3359)","(0.2313, 0.4198, 0.3609655762081785)","0.29
","(0.3043, 0.2258, 0.2593)","(0.3043, 0.2258, 0.23808364518364517)","0.128
","(0, 0, 0)","(0, 0, 0)","0.0
","(0.48, 0.3871, 0.4286)","(0.48, 0.3871, 0.40268735642148146)","0.378
","(0.6667, 0.6667, 0.6667)","(0.6667, 0.6667, 0.6667)","0.704
","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","1.0
","(0.1803, 0.6875, 0.2857)","(0.1803, 0.6875, 0.43996681337403276)","0.185
","(0.1153, 0.152, 0.1311)","(0.0829, 0.212, 0.16165194996320822)","0.073
","(0.4286, 0.375, 0.4)","(0.3333, 0.4375, 0.4117545321059468)","0.371
","(0.4038, 0.3333, 0.3652)","(0.3086, 0.3968, 0.3753447768513977)","0.292
","(1.0, 0.5625, 0.72)","(0.4667, 0.875, 0.744697826245532)","0.805
","(1.0, 0.4, 0.5714)","(0.2, 1.0, 0.5555555555555556)","0.596
","(0.375, 0.2609, 0.3077)","(0.2642, 0.3043, 0.2953348762030711)","0.201
","(0.4286, 0.45, 0.439)","(0.25, 0.65, 0.49242424242424243)","0.436
","(0.75, 0.75, 0.75)","(0.75, 0.75, 0.75)","0.893
","(0.5263, 0.3448, 0.4167)","(0.3091, 0.5862, 0.49707675847690114)","0.432
"
gvsm_trans,"(1.0, 0.5714, 0.7273)","(0.625, 0.7143, 0.6944552468655695)","0.783
","(0.3093, 0.3704, 0.3371)","(0.3093, 0.3704, 0.3563222194575765)","0.252
","(0.3944, 0.1657, 0.2333)","(0.1425, 0.3077, 0.24978494929930498)","0.163
","(0.2321, 0.2106, 0.2209)","(0.1623, 0.3264, 0.27149815498154983)","0.138
","(0.2609, 0.1935, 0.2222)","(0.1552, 0.2903, 0.2472536494347492)","0.132
","(0.3896, 0.1987, 0.2632)","(0.1247, 0.3841, 0.27124968852644693)","0.213
","(0, 0, 0)","(0, 0, 0)","0.0
","(0.3889, 0.35, 0.3684)","(0.3889, 0.35, 0.35714473131821994)","0.243
","(0.5238, 0.3548, 0.4231)","(0.4, 0.3871, 0.3896130038749937)","0.366
","(0.8, 0.6667, 0.7273)","(0.8, 0.6667, 0.6896837096231928)","0.671
","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","1.0
","(0.1935, 0.375, 0.2553)","(0.1935, 0.375, 0.31576370757180156)","0.18
","(0, 0, 0)","(0, 0, 0)","0.0
","(0.1435, 0.0707, 0.0947)","(0.0494, 0.1756, 0.1162197213290461)","0.033
","(0.5294, 0.2812, 0.3673)","(0.1538, 0.625, 0.3875383002741493)","0.353
","(0.5417, 0.2063, 0.2989)","(0.1391, 0.5079, 0.33190308183782774)","0.251
","(0.5652, 0.8125, 0.6667)","(0.5652, 0.8125, 0.747120359222985)","0.718
","(1.0, 0.4, 0.5714)","(0.2, 1.0, 0.5555555555555556)","0.581
","(0.2727, 0.2609, 0.2667)","(0.172, 0.3478, 0.28877003282486957)","0.209
","(0.5714, 0.4, 0.4706)","(0.2778, 0.75, 0.5597195357833655)","0.504
","(0.75, 0.75, 0.75)","(0.75, 0.75, 0.75)","0.893
","(0.3542, 0.5862, 0.4416)","(0.2232, 0.8621, 0.548238418143484)","0.37
"
lda_origin,"(1.0, 0.2857, 0.4444)","(0.1429, 1.0, 0.45463222193942476)","0.423
","(0.1406, 0.2222, 0.1722)","(0.0923, 0.4444, 0.2520779252704031)","0.085
","(0.0795, 0.2258, 0.1176)","(0.0571, 0.3871, 0.1795565393988627)","0.046
","(0.1111, 0.2581, 0.1553)","(0.1111, 0.2581, 0.20409188612099644)","0.111
","(0.6, 0.5, 0.5455)","(0.4444, 0.6667, 0.6060661129975862)","0.521
","(0.5, 1.0, 0.6667)","(0.5, 1.0, 0.8333333333333334)","0.417
","(0.0667, 1.0, 0.125)","(0.0667, 1.0, 0.2632617619197979)","0.075
","(0.0684, 0.0557, 0.0614)","(0.0255, 0.2698, 0.09252151694459387)","0.019
","(0.375, 0.1875, 0.25)","(0.375, 0.1875, 0.20833333333333334)","0.1
","(0.1972, 0.2222, 0.209)","(0.115, 0.3651, 0.2544327960247243)","0.082
","(0.8, 0.25, 0.381)","(0.8, 0.25, 0.2898550724637681)","0.306
","(0.2, 1.0, 0.3333)","(0.2, 1.0, 0.5555555555555556)","0.371
","(0.0612, 0.1957, 0.0933)","(0.0556, 0.2391, 0.1440299024918743)","0.041
","(0.05, 1.0, 0.0952)","(0.05, 1.0, 0.20833333333333334)","0.06
","(0.25, 1.0, 0.4)","(0.25, 1.0, 0.625)","0.25
","(0.2333, 0.2414, 0.2373)","(0.2333, 0.2414, 0.23973531414949772)","0.087
"
lda_trans,"(0.1429, 1.0, 0.25)","(0.1429, 1.0, 0.45463222193942476)","0.206
","(0.1, 0.2222, 0.1379)","(0.1, 0.2222, 0.17855994856959176)","0.044
","(0.0843, 0.1657, 0.1118)","(0.0426, 0.3669, 0.14544891122278059)","0.041
","(0.0456, 0.0648, 0.0535)","(0.0305, 0.1389, 0.08118915293215791)","0.015
","(0.0685, 0.3226, 0.113)","(0.0685, 0.3226, 0.18520030170968824)","0.048
","(0.1765, 0.0795, 0.1096)","(0.0392, 0.351, 0.1354785348562426)","0.038
","(0.375, 0.15, 0.2143)","(0.0769, 1.0, 0.2940501682471704)","0.129
","(0.1341, 0.3548, 0.1947)","(0.1341, 0.3548, 0.26693604129263915)","0.069
","(0.1667, 1.0, 0.2857)","(0.1667, 1.0, 0.5000599952003839)","0.167
","(0.5, 1.0, 0.6667)","(0.5, 1.0, 0.8333333333333334)","0.5
","(0.2857, 0.125, 0.1739)","(0.0667, 1.0, 0.2632617619197979)","0.143
","(0.0218, 0.0407, 0.0284)","(0.0114, 0.1906, 0.04599576629974598)","0.006
","(0.3333, 0.2188, 0.2642)","(0.3333, 0.2188, 0.2349421391752577)","0.113
","(0.069, 0.1905, 0.1013)","(0.069, 0.1905, 0.14088424437299035)","0.029
","(0.625, 0.3125, 0.4167)","(0.625, 0.3125, 0.3472222222222222)","0.296
","(0.2, 1.0, 0.3333)","(0.2, 1.0, 0.5555555555555556)","0.231
","(0.0875, 0.1522, 0.1111)","(0.0875, 0.1522, 0.1325915969733174)","0.036
","(0.25, 0.1, 0.1429)","(0.05, 1.0, 0.20833333333333334)","0.061
","(0.25, 1.0, 0.4)","(0.25, 1.0, 0.625)","0.25
","(0.2308, 0.3103, 0.2647)","(0.2308, 0.3103, 0.2903009323064451)","0.102
"
vsm_origin,"(0.4545, 0.7143, 0.5556)","(0.4545, 0.7143, 0.6410167634166568)","0.566
","(0.4773, 0.2593, 0.336)","(0.3571, 0.3086, 0.3172166378814047)","0.259
","(0.1628, 0.2258, 0.1892)","(0.1628, 0.2258, 0.20957947548460665)","0.103
","(0, 0, 0)","(0, 0, 0)","0.0
","(0.3929, 0.3548, 0.3729)","(0.3929, 0.3548, 0.3618171719269103)","0.227
","(0.75, 0.5, 0.6)","(0.3077, 0.6667, 0.5405628194993413)","0.632
","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","1.0
","(0.1494, 0.8125, 0.2524)","(0.1494, 0.8125, 0.43042160130487206)","0.16
","(0.0969, 0.1156, 0.1055)","(0.0592, 0.1884, 0.13115333960489184)","0.044
","(0.7143, 0.3125, 0.4348)","(0.7143, 0.3125, 0.3521133703505064)","0.361
","(0.56, 0.2222, 0.3182)","(0.1985, 0.4286, 0.34793513823000166)","0.259
","(0.7857, 0.6875, 0.7333)","(0.4643, 0.8125, 0.7065283552459077)","0.666
","(1.0, 0.4, 0.5714)","(0.2, 1.0, 0.5555555555555556)","0.574
","(0.2619, 0.2391, 0.25)","(0.1146, 0.3913, 0.26387536777686244)","0.135
","(0.3, 0.45, 0.36)","(0.2167, 0.65, 0.4643163238396625)","0.398
","(0.6, 0.75, 0.6667)","(0.6, 0.75, 0.7142857142857143)","0.808
","(0.3415, 0.4828, 0.4)","(0.1917, 0.7931, 0.487330181421886)","0.375
"
vsm_trans,"(0.8, 0.5714, 0.6667)","(0.8, 0.5714, 0.6060348942037439)","0.591
","(0.4667, 0.2593, 0.3333)","(0.2414, 0.3457, 0.3182032334324716)","0.262
","(0.152, 0.2249, 0.1814)","(0.0945, 0.4201, 0.24871225410349582)","0.12
","(0.2853, 0.2431, 0.2625)","(0.159, 0.3356, 0.274600658707287)","0.196
","(0.2308, 0.1935, 0.2105)","(0.0903, 0.4516, 0.2508580216535433)","0.119
","(0.2484, 0.2517, 0.25)","(0.1755, 0.2848, 0.2532549655451966)","0.16
","(0, 0, 0)","(0, 0, 0)","0.0
","(0.4375, 0.35, 0.3889)","(0.2439, 0.5, 0.41322174030902686)","0.382
","(0.4231, 0.3548, 0.386)","(0.4231, 0.3548, 0.3666370652598671)","0.232
","(0.75, 0.5, 0.6)","(0.3077, 0.6667, 0.5405628194993413)","0.641
","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","1.0
","(0.1818, 0.375, 0.2449)","(0.1818, 0.375, 0.30926782798040287)","0.172
","(0, 0, 0)","(0, 0, 0)","0.0
","(0.0737, 0.1006, 0.0851)","(0.0508, 0.1392, 0.10326168224299066)","0.029
","(0.7, 0.2188, 0.3333)","(0.1685, 0.4688, 0.34561078053902694)","0.329
","(0.4118, 0.2222, 0.2887)","(0.148, 0.4603, 0.3236928632519243)","0.207
","(0.7692, 0.625, 0.6897)","(0.3125, 0.9375, 0.6696428571428571)","0.637
","(0.4286, 0.6, 0.5)","(0.4286, 0.6, 0.5555651572761838)","0.524
","(0.3462, 0.1957, 0.25)","(0.122, 0.3261, 0.24434467510133887)","0.14
","(0.5, 0.35, 0.4118)","(0.2703, 0.5, 0.427365292183152)","0.39
","(0.6, 0.75, 0.6667)","(0.6, 0.75, 0.7142857142857143)","0.808
","(0.3667, 0.3793, 0.3729)","(0.2262, 0.6552, 0.47502)","0.333
"
